Timestamp,Sleep(Hours),Monthly_Allowance,Stay,Gaming(Hours),CGPA,Food,Committees,Games,Stream,Gender,College
18/10/2019 13:19:47,7,5000-10000,With Parents,0,3.88,Canteen,0,,CS,Female,MPSTME
18/10/2019 12:26:41,6,0-5000,With Parents,1,3.84,Homemade meal,2,,CS,Female,MPSTME
18/10/2019 12:27:10,6,20000-25000,Hostel,5,3.84,Ordering in,4,Snapchat games,CS,Female,MPSTME
18/10/2019 12:18:52,5,15000-20000,Hostel,0,3.76,Ordering in,0,,CS,Male,MPSTME
18/10/2019 12:32:39,6,5000-10000,With Parents,2,3.72,Ordering in,4,COD,CS,Male,MPSTME
18/10/2019 13:46:18,6,0-5000,Hostel,0,3.68,Ordering in,5,,Electronics,Male,BITS Pilani
18/10/2019 12:06:02,5,0-5000,With Parents,0,3.94,Homemade meal,4,,Mechatronics,Male,MPSTME
18/10/2019 13:13:45,5,10000-15000,Flat,0.5,3.94,Homemade meal,0,Motor Hero,DS,Male,MPSTME
18/10/2019 12:37:46,5,5000-10000,With Parents,0,3.93,Homemade meal,7,,Law,Female,NMIMS
18/10/2019 13:29:16,6,0-5000,With Parents,0,3.92,Homemade meal,0,,MCA,Female,MPSTME
18/10/2019 12:20:04,6,0-5000,With Parents,0,3.84,Homemade meal,1,,CS,Female,MPSTME
18/10/2019 12:05:24,7,0-5000,With Parents,1,3.8,Homemade meal,0,,Mechatronics,Male,MPSTME
18/10/2019 12:37:54,6,10000-15000,With Parents,0,3.8,Ordering in,0,,EXTC,Female,MPSTME
18/10/2019 12:59:00,6,5000-10000,With Parents,0,3.8,Homemade meal,2,,CS,Female,MPSTME
18/10/2019 13:00:23,6,0-5000,With Parents,1.5,3.8,Homemade meal,2,"FIFA, Clash Royale",,Male,
18/10/2019 13:07:06,8,5000-10000,Hostel,2,3.8,Ordering in,0,PUBG,IT,Male,MPSTME
18/10/2019 12:14:43,8,5000-10000,With Parents,3,3.78,Homemade meal,1,Borderlands,Civil,Male,MPSTME
18/10/2019 12:19:44,5,0-5000,With Parents,0,3.76,Homemade meal,1,,CS,Male,MPSTME
18/10/2019 12:30:04,6,10000-15000,With Parents,1,3.75,Homemade meal,1,Ball Blast,DS,Female,MPSTME
